6 Random 1
A, 0.0, 35.0, 36.0, 46.0, 36.0, 31.0
B, 42.0, 0.0, 25.0, 31.0, 35.0, 33.0
C, 31.0, 29.0, 0.0, 30.0, 30.0, 40.0
D, 32.0, 26.0, 32.0, 0.0, 45.0, 28.0
E, 40.0, 33.0, 28.0, 30.0, 0.0, 29.0
F, 37.0, 35.0, 36.0, 34.0, 25.0, 0.0
6 Random 2
A, 0.0, 47.0, 39.0, 49.0, 59.0, 48.0
B, 56.0, 0.0, 44.0, 48.0, 43.0, 49.0
C, 51.0, 51.0, 0.0, 60.0, 62.0, 41.0
D, 44.0, 50.0, 56.0, 0.0, 50.0, 50.0
E, 59.0, 40.0, 52.0, 64.0, 0.0, 60.0
F, 37.0, 34.0, 57.0, 55.0, 45.0, 0.0
6 Random 3
A, 0.0, 69.0, 57.0, 72.0, 63.0, 85.0
B, 59.0, 0.0, 54.0, 78.0, 70.0, 42.0
C, 75.0, 57.0, 0.0, 55.0, 77.0, 78.0
D, 61.0, 79.0, 58.0, 0.0, 64.0, 59.0
E, 47.0, 78.0, 77.0, 90.0, 0.0, 78.0
F, 59.0, 67.0, 72.0, 59.0, 61.0, 0.0
