6 Weighted 1
A, 0.0, 120.0, 134.0, 128.0, 136.0, 131.0
B, 14.0, 0.0, 15.0, 16.0, 11.0, 19.0
C, 5.0, 11.0, 0.0, 11.0, 22.0, 13.0
D, 16.0, 17.0, 11.0, 0.0, 15.0, 9.0
E, 10.0, 20.0, 11.0, 16.0, 0.0, 15.0
F, 17.0, 12.0, 14.0, 11.0, 20.0, 0.0
6 Weighted 2
A, 0.0, 147.0, 100.0, 144.0, 116.0, 118.0
B, 142.0, 0.0, 121.0, 109.0, 117.0, 126.0
C, 14.0, 9.0, 0.0, 19.0, 13.0, 20.0
D, 10.0, 18.0, 14.0, 0.0, 12.0, 8.0
E, 17.0, 10.0, 9.0, 12.0, 0.0, 9.0
F, 15.0, 15.0, 16.0, 13.0, 7.0, 0.0
6 Weighted 3
A, 0.0, 93.0, 82.0, 112.0, 91.0, 61.0
B, 89.0, 0.0, 85.0, 103.0, 90.0, 90.0
C, 107.0, 81.0, 0.0, 92.0, 88.0, 105.0
D, 8.0, 11.0, 8.0, 0.0, 10.0, 8.0
E, 9.0, 16.0, 11.0, 11.0, 0.0, 10.0
F, 6.0, 6.0, 9.0, 3.0, 5.0, 0.0
