9 N(2) P(0.2) - 0
A, 0.0, 47.0, 38.0, 33.0, 27.0, 21.0, 44.0, 26.0, 26.0
B, 37.0, 0.0, 45.0, 51.0, 31.0, 28.0, 23.0, 31.0, 28.0
C, 44.0, 64.0, 0.0, 53.0, 26.0, 23.0, 28.0, 23.0, 36.0
D, 36.0, 50.0, 46.0, 0.0, 23.0, 22.0, 23.0, 36.0, 28.0
E, 32.0, 26.0, 26.0, 30.0, 0.0, 35.0, 28.0, 59.0, 27.0
F, 25.0, 26.0, 33.0, 27.0, 54.0, 0.0, 21.0, 52.0, 48.0
G, 24.0, 28.0, 32.0, 25.0, 57.0, 42.0, 0.0, 37.0, 50.0
H, 31.0, 27.0, 30.0, 24.0, 46.0, 43.0, 44.0, 0.0, 43.0
I, 31.0, 31.0, 25.0, 31.0, 46.0, 39.0, 35.0, 33.0, 0.0
9 N(2) P(0.2) - 1
A, 0.0, 30.0, 51.0, 39.0, 26.0, 24.0, 30.0, 36.0, 38.0
B, 36.0, 0.0, 33.0, 29.0, 50.0, 48.0, 58.0, 32.0, 30.0
C, 47.0, 20.0, 0.0, 37.0, 32.0, 29.0, 19.0, 34.0, 45.0
D, 40.0, 29.0, 31.0, 0.0, 29.0, 30.0, 28.0, 37.0, 52.0
E, 22.0, 32.0, 42.0, 27.0, 0.0, 59.0, 40.0, 27.0, 31.0
F, 24.0, 45.0, 25.0, 25.0, 39.0, 0.0, 46.0, 25.0, 28.0
G, 27.0, 56.0, 26.0, 36.0, 51.0, 39.0, 0.0, 24.0, 22.0
H, 40.0, 37.0, 45.0, 35.0, 35.0, 31.0, 27.0, 0.0, 45.0
I, 49.0, 36.0, 37.0, 30.0, 28.0, 18.0, 17.0, 43.0, 0.0
9 N(2) P(0.7) - 0
A, 0.0, 58.0, 63.0, 69.0, 10.0, 10.0, 13.0, 9.0, 10.0
B, 80.0, 0.0, 81.0, 83.0, 13.0, 9.0, 12.0, 17.0, 8.0
C, 82.0, 71.0, 0.0, 72.0, 9.0, 9.0, 9.0, 10.0, 14.0
D, 70.0, 74.0, 72.0, 0.0, 9.0, 8.0, 7.0, 16.0, 4.0
E, 12.0, 15.0, 15.0, 17.0, 0.0, 54.0, 52.0, 52.0, 68.0
F, 14.0, 12.0, 13.0, 6.0, 68.0, 0.0, 58.0, 64.0, 57.0
G, 12.0, 12.0, 11.0, 14.0, 67.0, 60.0, 0.0, 41.0, 61.0
H, 12.0, 10.0, 9.0, 6.0, 66.0, 63.0, 52.0, 0.0, 58.0
I, 13.0, 7.0, 16.0, 10.0, 53.0, 68.0, 54.0, 67.0, 0.0
9 N(2) P(0.7) - 1
A, 0.0, 10.0, 12.0, 67.0, 69.0, 11.0, 7.0, 56.0, 61.0
B, 21.0, 0.0, 75.0, 7.0, 11.0, 58.0, 74.0, 13.0, 11.0
C, 7.0, 76.0, 0.0, 9.0, 11.0, 67.0, 75.0, 9.0, 11.0
D, 58.0, 9.0, 6.0, 0.0, 59.0, 9.0, 10.0, 54.0, 68.0
E, 59.0, 13.0, 13.0, 66.0, 0.0, 10.0, 8.0, 59.0, 46.0
F, 6.0, 77.0, 60.0, 11.0, 8.0, 0.0, 73.0, 9.0, 10.0
G, 10.0, 69.0, 77.0, 9.0, 17.0, 82.0, 0.0, 11.0, 10.0
H, 51.0, 11.0, 11.0, 63.0, 70.0, 6.0, 12.0, 0.0, 52.0
I, 70.0, 13.0, 13.0, 67.0, 69.0, 8.0, 9.0, 61.0, 0.0
9 N(3) P(0.2) - 0
A, 0.0, 55.0, 51.0, 30.0, 26.0, 31.0, 21.0, 32.0, 27.0
B, 49.0, 0.0, 46.0, 32.0, 23.0, 27.0, 22.0, 33.0, 20.0
C, 63.0, 59.0, 0.0, 28.0, 35.0, 26.0, 27.0, 36.0, 27.0
D, 30.0, 31.0, 31.0, 0.0, 37.0, 58.0, 31.0, 40.0, 37.0
E, 26.0, 20.0, 26.0, 62.0, 0.0, 64.0, 34.0, 24.0, 25.0
F, 19.0, 37.0, 34.0, 54.0, 50.0, 0.0, 35.0, 19.0, 26.0
G, 30.0, 31.0, 31.0, 29.0, 27.0, 26.0, 0.0, 53.0, 60.0
H, 26.0, 22.0, 28.0, 35.0, 25.0, 28.0, 62.0, 0.0, 59.0
I, 25.0, 31.0, 23.0, 26.0, 25.0, 25.0, 45.0, 52.0, 0.0
9 N(3) P(0.2) - 1
A, 0.0, 18.0, 54.0, 33.0, 37.0, 47.0, 20.0, 34.0, 36.0
B, 31.0, 0.0, 30.0, 51.0, 28.0, 24.0, 26.0, 66.0, 35.0
C, 59.0, 33.0, 0.0, 26.0, 27.0, 53.0, 20.0, 26.0, 24.0
D, 27.0, 52.0, 19.0, 0.0, 34.0, 20.0, 33.0, 50.0, 24.0
E, 28.0, 32.0, 26.0, 33.0, 0.0, 30.0, 46.0, 29.0, 45.0
F, 64.0, 34.0, 57.0, 39.0, 33.0, 0.0, 17.0, 32.0, 44.0
G, 26.0, 36.0, 24.0, 25.0, 57.0, 29.0, 0.0, 20.0, 49.0
H, 16.0, 50.0, 41.0, 58.0, 19.0, 35.0, 28.0, 0.0, 27.0
I, 22.0, 33.0, 34.0, 30.0, 60.0, 32.0, 48.0, 15.0, 0.0
9 N(3) P(0.7) - 0
A, 0.0, 95.0, 118.0, 6.0, 7.0, 11.0, 8.0, 17.0, 12.0
B, 102.0, 0.0, 116.0, 11.0, 10.0, 8.0, 10.0, 9.0, 10.0
C, 83.0, 115.0, 0.0, 17.0, 18.0, 13.0, 10.0, 7.0, 6.0
D, 5.0, 10.0, 10.0, 0.0, 100.0, 103.0, 9.0, 12.0, 8.0
E, 6.0, 10.0, 11.0, 107.0, 0.0, 93.0, 14.0, 13.0, 7.0
F, 13.0, 16.0, 12.0, 115.0, 104.0, 0.0, 12.0, 11.0, 15.0
G, 11.0, 15.0, 10.0, 16.0, 7.0, 12.0, 0.0, 114.0, 101.0
H, 13.0, 14.0, 8.0, 13.0, 10.0, 17.0, 111.0, 0.0, 123.0
I, 14.0, 6.0, 7.0, 12.0, 12.0, 8.0, 113.0, 98.0, 0.0
9 N(3) P(0.7) - 1
A, 0.0, 12.0, 11.0, 8.0, 12.0, 104.0, 8.0, 9.0, 108.0
B, 10.0, 0.0, 114.0, 12.0, 16.0, 8.0, 11.0, 107.0, 8.0
C, 12.0, 107.0, 0.0, 3.0, 11.0, 3.0, 10.0, 130.0, 12.0
D, 4.0, 9.0, 10.0, 0.0, 100.0, 16.0, 104.0, 13.0, 8.0
E, 11.0, 5.0, 5.0, 116.0, 0.0, 7.0, 107.0, 12.0, 10.0
F, 97.0, 7.0, 8.0, 6.0, 17.0, 0.0, 13.0, 6.0, 104.0
G, 12.0, 16.0, 10.0, 112.0, 102.0, 10.0, 0.0, 13.0, 12.0
H, 8.0, 113.0, 97.0, 15.0, 11.0, 10.0, 9.0, 0.0, 9.0
I, 129.0, 12.0, 13.0, 13.0, 12.0, 110.0, 5.0, 6.0, 0.0
