9 N(3) P(1) - 0
A, 0.0, 164.0, 124.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
B, 145.0, 0.0, 135.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
C, 158.0, 161.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
D, 0.0, 0.0, 0.0, 0.0, 129.0, 136.0, 0.0, 0.0, 0.0
E, 0.0, 0.0, 0.0, 146.0, 0.0, 120.0, 0.0, 0.0, 0.0
F, 0.0, 0.0, 0.0, 110.0, 150.0, 0.0, 0.0, 0.0, 0.0
G, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 139.0, 156.0
H, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0, 0.0, 131.0
I, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 142.0, 124.0, 0.0
9 N(3) P(1) - 1
A, 0.0, 119.0, 0.0, 123.0, 0.0, 0.0, 0.0, 0.0, 0.0
B, 137.0, 0.0, 0.0, 129.0, 0.0, 0.0, 0.0, 0.0, 0.0
C, 0.0, 0.0, 0.0, 0.0, 141.0, 0.0, 0.0, 134.0, 0.0
D, 133.0, 157.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
E, 0.0, 0.0, 167.0, 0.0, 0.0, 0.0, 0.0, 137.0, 0.0
F, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 152.0, 0.0, 122.0
G, 0.0, 0.0, 0.0, 0.0, 0.0, 144.0, 0.0, 0.0, 149.0
H, 0.0, 0.0, 135.0, 0.0, 146.0, 0.0, 0.0, 0.0, 0.0
I, 0.0, 0.0, 0.0, 0.0, 0.0, 131.0, 144.0, 0.0, 0.0
9 N(3) P(0.8) - 0
A, 0.0, 117.0, 105.0, 10.0, 7.0, 7.0, 4.0, 7.0, 5.0
B, 113.0, 0.0, 119.0, 10.0, 5.0, 10.0, 7.0, 5.0, 9.0
C, 131.0, 108.0, 0.0, 11.0, 9.0, 6.0, 8.0, 13.0, 7.0
D, 5.0, 3.0, 12.0, 0.0, 105.0, 113.0, 4.0, 4.0, 3.0
E, 5.0, 6.0, 10.0, 146.0, 0.0, 118.0, 5.0, 8.0, 5.0
F, 5.0, 8.0, 8.0, 124.0, 114.0, 0.0, 6.0, 8.0, 4.0
G, 9.0, 5.0, 4.0, 17.0, 6.0, 6.0, 0.0, 117.0, 106.0
H, 5.0, 6.0, 9.0, 7.0, 4.0, 10.0, 119.0, 0.0, 114.0
I, 8.0, 7.0, 5.0, 5.0, 8.0, 7.0, 133.0, 121.0, 0.0
9 N(3) P(0.8) - 1
